,league,earnings,players,tournaments,events
597,Telialigaen / Telenorligaen,136624.89,120,13,10
598,Temporada de Juegos,17807.31,96,6,4
599,Texas Showdown,0.0,103,16,1
600,The Big House,183809.5,188,41,9
601,The Fall Classic,22670.0,173,42,3
602,The Gauntlet SC2,4150.0,19,20,2
603,The GD Studio,21400.0,44,15,10
604,The Legion Clan Events,203870.0,192,61,35
605,The Party,8940.89,40,6,5
606,The Pinnacle (Fighting Games),22725.66,135,36,2
607,The Pinnacle (Hearthstone),20000.0,16,4,4
608,The Skirmish Invitational,5715.0,45,10,2
609,The World CS:GO Championships,200000.0,77,2,2
610,Tipped Off,44401.76,94,36,12
611,Titled Tuesday,162237.05,308,112,69
612,Topanga League,115825.15,15,6,6
613,Toryuken,7249.03,77,34,2
614,Tournament Go,4802.0,18,7,5
615,Trackmania Grand League,39655.22,14,20,3
616,Twitch Rivals,4348023.0,2038,103,34
617,TwitchCon,2500710.0,395,13,3
618,Ultimate Gaming Challenge,293488.11,178,20,10
619,Ultraliga,100848.03,92,7,4
620,Underdogs,131976.76,154,90,4
621,Uprise Champions Cup,91484.0,109,8,7
622,UTPL,3698.92,65,3,2
623,V4 Future Sports Festival,1566343.08,116,5,2
624,VALORANT Academy,7897.91,52,9,2
625,Vanguard Champion Series,21500.0,163,21,1
626,Viagame House Cup,70000.0,18,3,3
627,Video Gamers League,25350.0,24,8,7
628,Voobly Events,6900.0,43,6,5
629,Wednesday Night Melee,410.0,3,2,2
630,WePlay,1369896.0,369,24,16
631,West Coast Warzone,7780.0,22,9,2
632,World Cyber Arena,6665816.82,1031,93,24
633,World e-Sports Games,1411612.65,340,31,13
634,World Esports Games & Leagues,421346.1,137,9,4
635,World Puzzle League,4331.92,24,18,4
636,World Series of Video Games,869400.0,242,37,11
637,World Showdown of Esports,606500.0,175,10,9
638,X-Bet.co Rampage Series,28843.38,72,5,1
639,X5 Mega Arena,45924.25,162,12,5
640,Xanadu,91339.0,296,378,7
641,XLG,61017.58,135,15,7
642,YUZU Winter Challenge,6483.0,47,12,2
643,ZeratoR Cup,23529.84,19,10,2
